bucket,dept,equip_no,name,hierarchy_path,display_label
shared,instrument,PDW-38,PDW-38 (Deaerator emergency make-up water line MOV),Power Plant > 150TPH BLR > Auxiliary Equipment > Deaerator,
shared,instrument,PFW-133,PFW-133 (Economiser inlet header iso MOV),Power Plant > 150TPH BLR > Pressure Parts > Economizer,
shared,instrument2,APH-PC-M,APH-PC-M,Power Plant > 150TPH BLR > Auxiliary Equipment > Air Preheater | Power Plant > 150TPH BLR > Ash Handling System > Dense Phase System APH Master | Power Plant > 150TPH BLR > Ash Handling System > APH & ESP Hopper | Power Plant > 150TPH BLR > Instrumentation & Control Valves > APH-PC-M,
shared,instrument2,APH-PC-S,APH-PC-S,Power Plant > 150TPH BLR > Ash Handling System > Dense Phase System APH Slave | Power Plant > 150TPH BLR > Instrumentation & Control Valves > APH-PC-S,
shared,instrument2,BV-01,BV-01 (Spray water on/off valve to DSH-502),Power Plant > 150TPH BLR > Instrumentation & Control Valves > BV-01,
shared,instrument2,BV-02,BV-02 (Spray water on/off valve to DSH-501),Power Plant > 150TPH BLR > Instrumentation & Control Valves > BV-02,
shared,instrument2,BV-03,BV-03 (Spray water on/off valve FOR 110/3 ATA process steam PRDS),Power Plant > 150TPH BLR > Instrumentation & Control Valves > BV-03,
shared,instrument2,BV-04,BV-04 (Spray water on/off valve FOR 110/3 ATA Dearator steam PRDS),Power Plant > 150TPH BLR > Instrumentation & Control Valves > BV-04,
shared,instrument2,BV-05,BV-05 (Spray water on/off valve FOR 110/8 Auxiliary steam PRDS),Power Plant > 150TPH BLR > Instrumentation & Control Valves > BV-05,
shared,instrument2,BV-07,BV-07,Power Plant > 150TPH BLR > Instrumentation & Control Valves > BV-07,
shared,instrument2,DAM-901,DAM-901 (ID FAN-A Suction Damper RPC)),Power Plant > 150TPH BLR > Instrumentation & Control Valves > DAM-901,
shared,instrument2,DAM-902,DAM-902 (ID FAN-B Suction Damper RPC)),Power Plant > 150TPH BLR > Instrumentation & Control Valves > DAM-902,
shared,instrument2,DAM-903,DAM-903 (SA FAN-A Suction Damper RPC)),Power Plant > 150TPH BLR > Instrumentation & Control Valves > DAM-903,
shared,instrument2,DAM-904,DAM-904 (SA FAN-B Suction Damper RPC)),Power Plant > 150TPH BLR > Instrumentation & Control Valves > DAM-904,
shared,instrument2,DAM-905,DAM-905 (FD FAN-A Suction Damper RPC)),Power Plant > 150TPH BLR > Instrumentation & Control Valves > DAM-905,
shared,instrument2,DAM-906,DAM-906 (FD FAN-B Suction Damper RPC)),Power Plant > 150TPH BLR > Instrumentation & Control Valves > DAM-906,
shared,instrument2,DAM-907,DAM-907 (DA FAN-A Suction Damper RPC)),Power Plant > 150TPH BLR > Auxiliary Equipment > DA Fan -01 | Power Plant > 150TPH BLR > Instrumentation & Control Valves > DAM-907,
shared,instrument2,DAM-908,DAM-908 (DA FAN-B Suction Damper RPC)),Power Plant > 150TPH BLR > Auxiliary Equipment > DA Fan -02 | Power Plant > 150TPH BLR > Instrumentation & Control Valves > DAM-908,
shared,instrument2,ESP1-PC,ESP1-PC,Power Plant > 150TPH BLR > Auxiliary Equipment > ESP | Power Plant > 150TPH BLR > Ash Handling System > ESP | Power Plant > 150TPH BLR > Instrumentation & Control Valves > ESP1-PC,
shared,instrument2,ESP2-PC,ESP2-PC,Power Plant > 150TPH BLR > Instrumentation & Control Valves > ESP2-PC,
shared,instrument2,ESP3-PC,ESP3-PC,Power Plant > 150TPH BLR > Instrumentation & Control Valves > ESP3-PC,
shared,instrument2,ESP4-PC,ESP4-PC,Power Plant > 150TPH BLR > Instrumentation & Control Valves > ESP4-PC,
shared,instrument2,FCV-500,FCV-500 (Boiler feed water 30% control valve),Power Plant > 150TPH BLR > Instrumentation & Control Valves > FCV-500,
shared,instrument2,FCV-501A,FCV-501A (Boiler feed water 100% control valve-1),Power Plant > 150TPH BLR > Instrumentation & Control Valves > FCV-501A,
shared,instrument2,FCV-501B,FCV-501B (Boiler feed water 100% control valve-2),Power Plant > 150TPH BLR > Instrumentation & Control Valves > FCV-501B,
shared,instrument2,LCV-501,LCV-501 (Boiler CBD Tank Level control valve),Power Plant > 150TPH BLR > Instrumentation & Control Valves > LCV-501,
shared,instrument2,PCV-502,PCV-502 (110/45 ATA Process Steam Pr. Control Valve),Power Plant > 150TPH BLR > Instrumentation & Control Valves > PCV-502,
shared,instrument2,PCV-503,PCV-503 (Soot Blower control valve),Power Plant > 150TPH BLR > Instrumentation & Control Valves > PCV-503,
shared,instrument2,PCV-505,PCV-505 (Boiler Start up vent control valve),Power Plant > 150TPH BLR > Instrumentation & Control Valves > PCV-505,
shared,instrument2,PCV-509,PCV-509 (Boiler 110/3 ATA Process PRDS control valve),Power Plant > 150TPH BLR > Instrumentation & Control Valves > PCV-509,
shared,instrument2,PCV-510,PCV-510 (Boiler 110/3 ATA Dearator Steam Pr. control valve),Power Plant > 150TPH BLR > Instrumentation & Control Valves > PCV-510,
shared,instrument2,PCV-511A,PCV-511A (Boiler 110/8 ATA Auxiliary Steam Pr. control valve),Power Plant > 150TPH BLR > Instrumentation & Control Valves > PCV-511A,
shared,instrument2,PCV-511B,PCV-511B (Boiler 110/8 ATA Auxiliary Steam Pr. Bypass control valve),Power Plant > 150TPH BLR > Instrumentation & Control Valves > PCV-511B,
shared,instrument2,PFW-09,PFW-09 (Dearator Overflow On/Off Valve),Power Plant > 150TPH BLR > Instrumentation & Control Valves > PFW-09,
shared,instrument2,PRV-501,PRV-501 (135/67 KG/CM2 Water Pressure Reducing Valve),Power Plant > 150TPH BLR > Instrumentation & Control Valves > PRV-501,
shared,instrument2,TCV-501A,TCV-501A (Boiler Spray Water Temp. control valve for DSH-501),Power Plant > 150TPH BLR > Pressure Parts > Attemperator-01 | Power Plant > 150TPH BLR > Instrumentation & Control Valves > TCV-501A,
shared,instrument2,TCV-501B,TCV-501B (Boiler Spray Water Bypass Temp. control valve for DSH-501),Power Plant > 150TPH BLR > Instrumentation & Control Valves > TCV-501B,
shared,instrument2,TCV-502A,TCV-502A (Boiler Spray Water Temp. control valve For DSH-502),Power Plant > 150TPH BLR > Pressure Parts > Attemperator-02 | Power Plant > 150TPH BLR > Instrumentation & Control Valves > TCV-502A,
