"Date";"Shift";"Sampling_time";"yard_bal";"crush";"imb_wtr";"imb_temp";"mixj_ds";"mixj_rs";"mol_ds";"mol_rs";"fcake_ds";"fcake_rs";"qty_dsl";"mesh_dsl";"bagtemp_dsl";"qty_dsm";"mesh_dsm";"bagtemp_dsm";"qty_dss";"mesh_dss";"bagtemp_dss";"qty_rsl";"mesh_rsl";"bagtemp_rsl";"qty_rsm";"mesh_rsm";"bagtemp_rsm";"qty_rss";"mesh_rss";"bagtemp_rss";"qty_p20";"bagtemp_p20";"qty_p30";"bagtemp_p30";"qty_p40";"bagtemp_p40";"FBDInlet_TempDS";"FBDInlet_MoistDS";"FBDOutlet_TempDS";"FBDOutlet_MoistDS";"Hopper_TempDS";"Hopper_MoistDS";"FBDInlet_TempRS";"FBDInlet_MoistRS";"FBDOutlet_TempRS";"FBDOutlet_MoistRS";"Hopper_TempRS";"Hopper_MoistRS";"RSDInlet_Temp";"RSDInlet_Moist";"RSDOutlet_Temp";"RSDOutlet_Moist";"timestamp"
"2023-12-23";"A";"8-9 AM";27300.0;100200.0;39050.0;76.0;55310.0;56270.0;3400.0;2600.0;1889.0;1919.0;486.0;98.0;32.0;3967.0;97.0;34.0;597.0;94.0;30.0;326.0;97.0;33.0;3185.0;96.0;34.0;1140.0;75.0;34.0;248.0;34.0;130.0;34.0;271.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-24 11:22:38"
"2023-12-24";"C";"7-8 AM";13291.0;100000.0;38900.0;69.22;55130.0;56570.0;3320.0;2210.0;1873.0;19.27;483.0;98.0;33.0;3688.0;97.0;35.0;675.0;95.0;32.0;304.0;99.0;34.0;3664.0;69.0;34.0;832.0;71.0;34.0;223.0;31.0;131.0;30.0;289.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-25 09:48:46"
"2023-12-25";"C";"7-8 AM";24300.0;50000.0;19680.0;69.0;27570.0;28330.0;2200.0;16900.0;935.0;965.0;183.0;96.0;31.0;2193.0;97.0;37.0;201.0;91.0;31.0;332.0;98.0;32.0;2796.0;95.0;36.0;879.0;86.0;37.0;17.0;30.0;17.0;29.0;22.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-26 10:13:34"
"2023-12-26";"C";"7-8 AM";17000.0;100000.0;39110.0;75.21;55000.0;55950.0;3320.0;2145.0;1885.0;1915.0;214.0;96.0;32.0;3776.0;97.0;35.0;531.0;96.0;29.0;903.0;99.0;34.0;2950.0;98.0;36.0;1167.0;64.0;37.0;0.0;0.0;0.0;0.0;94.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-27 09:44:40"
"2023-12-30";"C";"7-8 AM";9600.0;93900.0;36800.0;75.0;51620.0;53240.0;3280.0;2145.0;1756.0;1812.0;176.0;98.98;34.0;386.0;98.18;37.0;687.0;97.54;29.0;667.0;98.37;34.0;3413.0;97.11;38.0;954.0;72.83;36.0;141.0;29.0;75.0;28.0;261.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-31 10:21:41"
"2023-12-31";"C";"7-8 AM";11800.0;100200.0;39370.0;74.0;55330.0;56670.0;3360.0;2275.0;1881.0;1927.0;155.0;0.0;29.0;3910.0;0.0;35.0;627.0;0.0;31.0;648.0;0.0;34.0;3403.0;0.0;35.0;1297.0;0.0;35.0;233.0;29.0;122.0;28.0;343.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-01 09:46:21"
"2024-01-01";"C";"7-8 AM";11300.0;80000.0;31200.0;71.0;40190.0;49050.0;2560.0;2145.0;1368.0;1672.0;85.0;99.0;28.0;3205.0;97.5;35.0;655.0;92.41;32.0;513.0;99.0;34.0;3477.0;95.0;36.0;930.0;66.89;36.0;177.0;32.0;78.0;29.0;180.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-02 09:34:38"
"2024-01-02";"C";"7-8 AM";20100.0;83000.0;32660.0;72.0;42040.0;50770.0;2520.0;1690.0;1429.0;1725.0;136.0;0.0;35.0;2973.0;0.0;35.0;301.0;0.0;30.0;425.0;0.0;31.0;2901.0;0.0;34.0;1131.0;0.0;32.0;289.0;29.0;103.0;29.0;196.0;31.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-03 09:38:14"
"2024-01-03";"C";"12-1 AM";32100.0;101000.0;3925.0;73.0;55680.0;56820.0;2800.0;2210.0;1900.0;1938.0;127.0;0.0;30.0;4100.0;0.0;35.0;478.0;0.0;31.0;691.0;0.0;32.0;3055.0;0.0;36.0;1130.0;0.0;34.0;297.0;34.0;53.0;30.0;425.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-04 09:25:06"
"2024-01-04";"C";"7-8 AM";49815.0;99500.0;38640.0;73.0;55020.0;55830.0;3040.0;2275.0;1877.0;1904.0;100.0;0.0;32.0;4008.0;0.0;33.0;722.0;0.0;30.0;749.0;0.0;34.0;3215.0;0.0;30.0;960.0;0.0;36.0;250.0;0.0;130.0;0.0;221.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-05 11:28:27"
"2024-01-05";"C";"7-8 AM";48900.0;101000.0;38920.0;73.0;55700.0;56900.0;3680.0;2210.0;1862.0;1976.0;250.0;0.0;0.0;4325.0;0.0;0.0;382.0;0.0;0.0;550.0;0.0;0.0;3482.0;0.0;0.0;1201.0;0.0;0.0;423.0;0.0;130.0;0.0;285.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-06 09:39:54"
"2024-01-06";"C";"7-8 AM";45200.0;102000.0;39300.0;73.0;5580.0;56950.0;3400.0;1755.0;1919.0;1957.0;230.0;99.0;30.0;4136.0;98.0;36.0;609.0;93.0;29.0;853.0;99.0;32.0;3523.0;97.0;36.0;1145.0;81.0;34.0;80.0;0.0;26.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-07 09:31:27"
"2024-01-07";"C";"7-8 AM";38600.0;102000.0;38630.0;73.0;56100.0;56250.0;3160.0;2405.0;1934.0;1942.0;153.0;99.0;32.0;4310.0;97.0;35.0;680.0;95.0;32.0;650.0;99.0;38.0;3175.0;98.0;35.0;1310.0;69.0;34.0;120.0;33.0;65.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-08 09:58:58"
"2024-01-08";"C";"7-8 AM";22900.0;101000.0;38480.0;73.0;55540.0;55690.0;3560.0;2086.0;1915.0;1923.0;225.0;98.0;34.0;4155.0;97.0;34.0;455.0;91.0;35.0;504.0;99.0;35.0;3308.0;95.0;34.0;1444.0;42.0;73.0;271.0;28.0;107.0;29.0;196.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-09 09:20:50"
"2024-01-09";"C";"7-8 AM";11100.0;101000.0;38200.0;72.0;55150.0;55850.0;3400.0;2080.0;1908.0;1980.0;175.0;96.0;34.0;4220.0;97.0;35.0;401.0;97.0;31.0;485.0;99.0;33.0;3595.0;95.0;36.0;1318.0;80.0;34.0;292.0;32.0;111.0;0.0;316.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-10 09:56:55"
"2024-01-10";"C";"7-8 AM";18000.0;100000.0;38060.0;72.0;54800.0;55310.0;2840.0;2405.0;1892.0;1908.0;219.0;98.0;32.0;4170.0;97.0;35.0;502.0;91.0;34.0;557.0;99.0;33.0;3489.0;97.0;36.0;1126.0;72.0;36.0;281.0;33.0;149.0;34.0;350.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-11 09:29:39"
"2024-01-11";"C";"7-8 AM";12800.0;101500.0;38320.0;75.0;55730.0;55780.0;3400.0;2145.0;1926.0;1931.0;163.0;99.0;33.0;4850.0;98.0;36.0;640.0;92.0;34.0;630.0;98.0;33.0;3534.0;97.0;36.0;988.0;74.0;34.0;205.0;35.0;138.0;34.0;195.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-12 09:55:33"
"2024-01-12";"C";"7-8 AM";16700.0;102500.0;38350.0;77.0;56020.0;56060.0;2840.0;2210.0;1946.0;1949.0;145.0;99.0;32.0;4656.0;98.0;33.0;634.0;83.0;33.0;695.0;99.0;35.0;3569.0;97.0;34.0;938.0;74.0;34.0;118.0;34.0;115.0;34.0;131.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-13 09:59:42"
"2024-01-13";"C";"7-8 AM";19600.0;102500.0;38500.0;75.0;56000.0;56080.0;3360.0;2470.0;1946.0;1949.0;157.0;99.0;33.0;4565.0;97.0;34.0;645.0;92.0;35.0;636.0;99.0;33.0;3366.0;97.0;34.0;1010.0;76.0;31.0;246.0;33.0;69.0;34.0;156.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-14 10:24:09"
"2024-01-14";"C";"7-8 AM";11500.0;101300.0;3849.0;75.0;55250.0;55360.0;3160.0;2210.0;1923.0;1926.0;212.0;99.0;31.0;4355.0;98.0;34.0;519.0;92.0;30.0;575.0;99.0;34.0;3753.0;97.0;35.0;1066.0;83.0;34.0;176.0;31.0;133.0;34.0;360.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-15 09:53:42"
"2024-01-15";"C";"7-8 AM";13100.0;92600.0;35270.0;75.0;50690.0;50780.0;3240.0;2275.0;1756.0;1763.0;116.0;0.0;0.0;3926.0;0.0;0.0;475.0;0.0;0.0;689.0;0.0;0.0;3130.0;0.0;0.0;951.0;0.0;0.0;350.0;0.0;155.0;0.0;238.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-16 10:05:11"
"2024-01-16";"C";"7-8 AM";20300.0;101000.0;38260.0;75.0;54800.0;54750.0;3240.0;2405.0;1930.0;1908.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-17 10:19:11"
"2024-01-16";"C";"7-8 AM";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;146.0;98.0;28.0;4538.0;97.0;35.0;616.0;87.0;30.0;680.0;99.0;33.0;3170.0;94.0;36.0;869.0;36.0;35.0;170.0;99.0;0.0;0.0;135.0;98.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-17 10:49:14"
"2024-01-17";"C";"7-8 AM";46900.0;22500.0;8000.0;75.0;24080.0;0.0;1600.0;585.0;855.0;0.0;54.0;99.0;29.0;1826.0;99.0;34.0;353.0;93.0;32.0;290.0;99.0;30.0;1639.0;93.0;37.0;727.0;85.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-18 10:33:51"
"2024-01-18";"C";"7-8 AM";58800.0;53800.0;17150.0;78.0;55860.0;0.0;3360.0;0.0;2044.0;0.0;130.0;97.0;30.0;4529.0;92.0;33.0;556.0;98.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;67.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2024-01-19 09:26:45"
