"Date";"Shift";"Sampling_time";"CJ_Pol";"CJ_Brix";"FJ_Pol";"FJ_Brix";"UtrSyrp_Pol";"UtrSyrp_Brix";"RawMc_Pol";"RawMc_Brix";"R1Mc_Pol";"R1Mc_Brix";"R2Mc_Pol";"R2Mc_Brix";"BMc_Pol";"BMc_Brix";"CMc_Pol";"CMc_Brix";"AH_Mol_Pol";"AH_Mol_Brix";"AL_Mol_Pol";"AL_Mol_Brix";"R1_Mol_Pol";"R1_Mol_Brix";"R2_Mol_Pol";"R2_Mol_Brix";"BH_Mol_Pol";"BH_Mol_Brix";"CL_Mol_Pol";"CL_Mol_Brix";"FMol_Pol";"FMol_Brix";"FCake_Pol";"op_mode";"R1Mc_IU";"R2Mc_IU";"R1Mol_IU";"R2Mol_IU";"RawMlt_Pol";"RawMlt_Brix";"RawMlt_IU";"ClearMlt_Pol";"ClearMlt_Brix";"ClearMlt_IU";"Pol_FineLiqourMelt";"Brix_FineLiqourMelt";"IU_FineLiqourMelt";"IERInlet_IU";"IERInlet_PH";"IEROutlet_IU";"IEROutlet_PH";"timestamp"
"2023-12-13";"B";"7-8 PM";10.52;13.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-13 23:32:23"
"2023-12-13";"B";"9-10 PM";10.75;13.47;8.21;10.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.7;85.7;1.87;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-13 23:33:33"
"2023-12-13";"B";"11-12 AM";10.75;13.42;0.0;0.0;57.1;72.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-13 23:34:59"
"2023-12-13";"C";"2-3 AM";10.5;13.17;8.95;11.36;5650.0;71.85;78.8;90.1;88.2;89.3;0.0;0.0;66.2;92.0;48.1;93.1;59.0;78.7;62.7;68.2;60.3;64.2;0.0;0.0;40.1;85.3;45.7;80.3;29.3;88.7;1.9;"B Heavy";632.0;0.0;0.0;0.0;60.2;61.1;861.0;60.1;60.8;565.0;58.9;59.4;192.0;0.0;0.0;287.0;7.66;"2023-12-14 04:57:54"
"2023-12-14";"A";"9-10 AM";10.89;13.67;7.83;10.27;66.64;84.7;80.9;91.7;86.87;87.3;0.0;0.0;67.4;90.7;48.97;95.3;59.22;77.7;58.28;61.6;69.92;70.2;-0.01;0.0;42.68;83.3;43.1;70.2;29.2;88.7;1.85;"C Heavy";0.0;0.0;0.0;0.0;62.1;63.0;681.0;60.85;61.6;438.0;60.15;60.6;199.0;0.0;0.0;0.0;0.0;"2023-12-14 15:36:26"
"2023-12-14";"A";"11-12 AM";10.6;13.26;7.92;10.36;-0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-14 15:37:14"
"2023-12-14";"A";"1-2 PM";10.8;13.59;7.94;10.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.95;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-14 15:38:22"
"2023-12-14";"A";"3-4 PM";10.65;13.37;8.21;10.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.6;85.7;0.0;"C Heavy";0.0;0.0;0.0;0.0;-0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-14 15:47:21"
"2023-12-14";"B";"5-6 PM";10.93;13.69;7.82;10.1;58.35;73.5;79.7;89.6;85.8;86.6;0.0;0.0;65.6;90.6;48.1;92.6;57.8;76.1;60.1;64.1;0.0;0.0;0.0;0.0;42.4;84.2;46.6;79.1;28.7;88.6;1.98;"C Heavy";0.0;0.0;0.0;0.0;64.2;65.1;663.0;62.95;63.7;462.0;59.2;59.7;207.0;0.0;0.0;0.0;0.0;"2023-12-14 23:38:35"
"2023-12-14";"B";"7-8 PM";10.7;13.47;7.79;10.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"C Heavy";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;"2023-12-14 23:39:35"
