"Date";"start_time";"end_Time";"section";"sub_section";"machinery";"category";"remarks";"created_at";"timestamp"
"2025-10-27";"2025-10-28 00:17:00";"2025-10-28 00:30:00";"Grid";"132 KV TRANSMISSION LINE";"Others";"Electrical";"GRID breaker auto tripped due to GRID failure o/c of tripping of 132KV GSMA Tr. line from Dhaurahar Substation";"2025-11-02 13:26:47";"2025-11-02 13:26:47"
"2025-10-27";"2025-10-28 05:11:00";"2025-10-28 05:24:00";"Grid";"132 KV TRANSMISSION LINE";"Others";"Electrical";"GRID breaker auto tripped due to GRID failure o/c of tripping of 132KV Dhaurahar Tr. line from Nighashan Substation";"2025-11-02 13:27:39";"2025-11-02 13:27:39"
"2025-10-26";"2025-10-27 04:51:00";"2025-10-27 04:52:00";"Grid";"OTHERS";"Others";"Electrical";"GRID breaker auto tripped due to GRID fluctuation.";"2025-11-02 13:28:41";"2025-11-02 13:28:41"
"2025-11-03";"2025-11-03 21:07:00";"2025-11-03 21:08:00";"Grid";"OTHERS";"Others";"Electrical";"GRID breaker auto tripped due to GRID Fluctuation. ";"2025-11-04 11:32:55";"2025-11-04 11:32:55"
"2025-11-04";"2025-11-04 23:56:00";"2025-11-04 23:57:00";"Grid";"OTHERS";"Others";"Electrical";"30.85 MW Grid breaker auto tripped due to GRID fluctuation.";"2025-11-05 12:42:56";"2025-11-05 12:42:56"
"2025-11-05";"2025-11-05 22:17:00";"2025-11-05 22:18:00";"Grid";"OTHERS";"Others";"Electrical";"30.85 MW Grid breaker auto tripped at 10:17PM due to GRID Fluctuation and STG synced with grid at 10:18PM.";"2025-11-06 13:41:40";"2025-11-06 13:41:40"
"2025-11-05";"2025-11-05 21:49:00";"2025-11-06 01:21:00";"35 TPH Boiler";"BOILER FANS";"ID Fan";"Electrical";"4MW STG set & 35TPH Boiler manually stopped to ID fan Motor Power Cable found Earthed , Then Spare Cable taken in line.";"2025-11-06 13:43:47";"2025-11-06 13:43:47"
"2025-11-11";"2025-11-12 07:50:00";"2025-11-12 08:00:00";"3MW Turbine (New)";"MILL - GENERAL CLEANING";"Others";"Other";"3MW New STG Stopped at 07:50AM due to mill stopped for Mill general cleaning";"2025-11-16 11:35:20";"2025-11-16 11:35:20"
"2025-11-12";"2025-11-12 08:15:00";"2025-11-12 11:05:00";"3MW Turbine (Old)";"MILL - GENERAL CLEANING";"Others";"Other";" 3MW Old STG Manually stopped due to mill General Cleaning.";"2025-11-16 11:37:10";"2025-11-16 11:37:10"
"2025-11-12";"2025-11-12 08:00:00";"2025-11-12 11:48:00";"3MW Turbine (New)";"MILL - GENERAL CLEANING";"Others";"Other";"3MW New STG set manually stopped for mill general cleaning.";"2025-11-16 11:38:53";"2025-11-16 11:38:53"
